,breed,fur,fur_color,image,life_expectancy,description
1,Affenpinczer,Krótkie,Czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Affenpinscher.jpg/220px-Affenpinscher.jpg,12,Affenpinczer to mały pies o odważnym charakterze, pochodzący z Niemiec. Znany jest ze swojego szorstkiego futra i małpiej twarzy.
2,Chart afgański,Długie,Różne,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Afghan_Hound.jpg/220px-Afghan_Hound.jpg,12,Chart afgański to elegancki pies myśliwski, znany z długiego, jedwabistego futra i łagodnego charakteru. Pochodzi z górskich terenów Afganistanu.
3,Terier airedale,Średnie,Czarny i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Airedale_Terrier.jpg/220px-Airedale_Terrier.jpg,11,Terier airedale to największy z terierów, pochodzi z Wielkiej Brytanii. Znany jest ze swojej inteligencji i wszechstronności.
4,Akita,Średnie,Różne,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Akita_Inu.jpeg/220px-Akita_Inu.jpeg,10,Akita to duży pies pochodzący z Japonii, znany ze swojej lojalności i odwagi. Ma gęste, podwójne futro i stoi na straży domu.
5,Alaskan malamut,Długie,Biały i szary,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Alaskan_Malamute.jpg/220px-Alaskan_Malamute.jpg,12,Alaskan malamut to jedna z najstarszych ras psów zaprzęgowych, pochodząca z Alaski. Znany jest z siły, wytrzymałości i przyjaznego charakteru.
6,American eskimo dog,Średnie,Biały,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/American_Eskimo_Dog.jpg/220px-American_Eskimo_Dog.jpg,13,American eskimo dog to rasa psa, która jest znana ze swojego puszystego, białego futra i żywej osobowości. Pochodzi z USA.
7,Amerykański foxhound,Średnie,Biały i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/American_Foxhound.jpg/220px-American_Foxhound.jpg,11,Amerykański foxhound to rasa psa myśliwskiego, która jest znana ze swojej wytrzymałości i szybkości. Pochodzi z USA.
8,American staffordshire terrier,Krótkie,Różne,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/American_Staffordshire_Terrier.jpg/220px-American_Staffordshire_Terrier.jpg,12,American staffordshire terrier to muskularny pies o silnym charakterze, znany ze swojej odwagi i lojalności. Pochodzi z USA.
9,American water spaniel,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/American_Water_Spaniel.jpg/220px-American_Water_Spaniel.jpg,13,American water spaniel to wszechstronny pies myśliwski, znany ze swojej zdolności do pracy zarówno na lądzie, jak i w wodzie. Pochodzi z USA.
10,Anatolian shepherd dog,Długie,Biały i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Anatolian_Shepherd_Dog.jpg/220px-Anatolian_Shepherd_Dog.jpg,13,Anatolian shepherd dog to duży pies pasterski, znany ze swojej niezależności i zdolności do pracy w trudnych warunkach. Pochodzi z Turcji.
11,Australian cattle dog,Krótkie,Niebieski i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Australian_Cattle_Dog.jpg/220px-Australian_Cattle_Dog.jpg,13,Australian cattle dog to inteligentny i energiczny pies pracujący, znany ze swojej zdolności do prowadzenia bydła. Pochodzi z Australii.
12,Owczarek australijski,Średnie,Różne,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Australian_Shepherd.jpg/220px-Australian_Shepherd.jpg,13,Owczarek australijski to wszechstronny pies pasterski, znany ze swojej inteligencji i zdolności do pracy w różnych warunkach. Pochodzi z USA.
